CRN,Cap,Act,Rem,Status
32107,24,12,9,OPEN
38446,24,11,11,OPEN
38451,24,2,11,OPEN
32115,24,3,9,OPEN
35927,24,7,17,OPEN
37743,24,2,11,OPEN
38595,20,2,10,OPEN
34819,25,15,10,OPEN
37238,25,--,0,See Instructor
38766,25,20,5,OPEN
35243,25,24,1,OPEN
35244,25,16,9,OPEN
35245,25,--,0,See Instructor
37237,25,21,4,OPEN
35924,25,--,0,See Instructor
37236,25,--,0,See Instructor
34820,25,--,0,See Instructor
34822,25,--,0,See Instructor
34823,25,--,0,See Instructor
37073,25,--,0,See Instructor
38866,25,17,8,OPEN
34824,25,--,0,See Instructor
38867,25,9,16,OPEN
38401,25,12,13,OPEN
36802,25,--,0,See Instructor
37235,25,--,0,See Instructor
38148,35,--,0,See Instructor
38268,35,--,0,See Instructor
38149,35,33,2,OPEN
38740,5,0,5,Permission of Instructor
32682,22,15,7,OPEN
37336,22,15,7,OPEN
32684,22,15,7,OPEN
37297,24,23,1,OPEN
36373,24,--,0,See Instructor
36374,20,--,0,See Instructor
35428,20,17,3,OPEN
36314,20,--,0,See Instructor
36165,20,15,5,OPEN
36164,16,14,2,OPEN
36168,16,--,0,See Instructor
36176,16,15,1,OPEN
36778,20,--,0,See Instructor
37298,20,--,0,CLOSED
37299,20,5,15,OPEN
31204,27,--,0,See Instructor
31200,27,--,0,See Instructor
33382,27,26,1,OPEN
33384,27,24,3,OPEN
36014,27,24,3,OPEN
33383,27,--,0,See Instructor
36043,27,--,0,See Instructor
30213,27,13,14,OPEN
38425,27,--,0,See Instructor
32093,24,20,4,OPEN
32513,24,19,5,OPEN
32094,24,12,12,OPEN
33386,24,14,10,OPEN
35053,24,9,15,OPEN
33772,24,--,0,See Instructor
35557,24,--,0,See Instructor
32765,24,12,12,OPEN
36044,24,10,14,OPEN
33791,28,--,0,See Instructor
32510,28,27,1,OPEN
35775,28,--,0,See Instructor
30307,30,--,0,See Instructor
32301,30,--,0,See Instructor
33944,30,27,3,OPEN
33949,30,--,0,See Instructor
33951,30,--,0,See Instructor
33952,30,--,0,CLOSED
33962,30,--,0,See Instructor
33971,30,--,0,See Instructor
33972,30,--,0,See Instructor
33974,30,--,0,See Instructor
35401,30,28,2,OPEN
38259,30,--,0,See Instructor
33940,30,--,0,See Instructor
33943,30,29,1,OPEN
33963,30,--,0,See Instructor
33965,30,28,2,OPEN
33970,30,--,0,See Instructor
34832,24,--,0,See Instructor
37910,24,--,0,See Instructor
37557,30,--,0,See Instructor
38260,1,--,0,CLOSED
38900,1,0,1,Permission of Instructor
37558,24,7,17,OPEN
37027,27,25,2,OPEN
32508,16,12,4,OPEN
32517,12,6,6,OPEN
38557,12,6,6,OPEN
32030,10,6,4,Restricted
34034,40,29,11,OPEN
34037,40,--,0,Waitlisted
38095,30,20,10,OPEN
33191,40,--,0,See Instructor
33676,40,--,0,See Instructor
33861,40,33,7,OPEN
36388,40,--,0,CLOSED
34038,40,--,0,Waitlisted
38487,40,11,29,OPEN
34039,60,--,0,See Instructor
33839,40,--,0,Waitlisted
33682,40,--,0,CLOSED
33683,40,--,0,CLOSED
33840,40,--,0,Waitlisted
33843,40,--,0,Waitlisted
35585,40,--,0,Waitlisted
33848,40,--,0,Waitlisted
34041,40,--,0,Waitlisted
34042,40,--,0,Waitlisted
36390,60,--,0,See Instructor
34044,40,--,0,Waitlisted
37300,40,--,0,Waitlisted
38841,40,13,27,OPEN
38843,40,--,0,See Instructor
38842,40,--,0,See Instructor
38844,40,--,0,See Instructor
38845,40,18,22,OPEN
38870,40,12,28,OPEN
38871,40,12,28,OPEN
37308,40,31,9,OPEN
37102,85,--,0,See Instructor
38014,40,28,12,OPEN
30178,80,--,0,CLOSED
36066,80,--,0,CLOSED
38467,35,--,0,See Instructor
30182,40,37,3,OPEN
31709,40,39,1,OPEN
38390,40,39,1,OPEN
31211,40,--,0,See Instructor
33560,40,39,1,OPEN
38435,40,15,25,OPEN
30327,85,--,0,See Instructor
35032,40,--,0,See Instructor
35033,85,--,0,See Instructor
37961,40,34,6,OPEN
38512,40,25,15,OPEN
36415,40,--,0,CLOSED
38515,30,23,7,Restricted: Dual Enrollment
38721,30,24,6,Restricted: Dual Enrollment
30738,40,27,13,OPEN
34639,40,20,20,OPEN
37256,40,15,25,OPEN
32060,40,--,0,CLOSED
38389,40,25,15,OPEN
38090,40,20,20,OPEN
37104,40,--,0,See Instructor
32229,40,39,1,OPEN
35126,40,--,0,CLOSED
30195,40,39,1,OPEN
30264,40,36,4,OPEN
38275,40,14,26,OPEN
37662,40,--,0,See Instructor
33795,85,--,0,See Instructor
33800,40,--,0,See Instructor
37115,40,39,1,OPEN
37257,40,--,0,See Instructor
37834,40,38,2,OPEN
36625,40,33,7,OPEN
35055,35,--,0,See Instructor
36530,35,--,0,See Instructor
35618,35,--,0,See Instructor
36489,65,--,0,See Instructor
36694,35,--,0,See Instructor
32945,35,--,0,Waitlisted
37982,35,33,2,OPEN
35587,35,--,0,See Instructor
37313,35,--,0,See Instructor
36123,35,25,10,OPEN
38513,35,7,28,OPEN
32792,30,--,0,Waitlisted
38739,5,1,4,Permission of Dean
38810,5,3,2,Permission of Dean
38860,1,--,0,CLOSED
38868,1,--,0,CLOSED
38894,1,--,0,CLOSED
37048,5,1,4,Permission of Dean
37935,3,1,2,Permission of Dean
38825,5,1,4,Permission of Dean
38872,1,--,0,CLOSED
38888,5,0,5,Permission of Dean
38780,1,--,0,Permission of Dean
38468,35,12,23,OPEN
38469,35,3,32,OPEN
38470,35,11,24,OPEN
38096,40,8,32,OPEN
37843,40,--,0,Waitlisted
36128,40,--,0,See Instructor
36124,80,--,0,CLOSED
37295,40,34,6,OPEN
36125,40,--,0,Waitlisted
31868,40,22,18,OPEN
36536,40,25,15,OPEN
36537,40,--,0,Waitlisted
32794,40,--,0,See Instructor
38466,40,--,0,Waitlisted
37459,25,12,13,OPEN
37461,25,23,2,OPEN
37463,25,5,20,OPEN
38803,16,10,6,OPEN
37465,25,16,9,OPEN
38573,25,23,2,OPEN
37467,25,--,0,See Instructor
37471,25,--,0,Waitlisted
36660,20,8,12,OPEN
38574,20,--,0,Waitlisted
36658,20,--,0,See Instructor
37476,16,--,0,See Instructor
38575,20,6,14,OPEN
38577,25,6,19,OPEN
37475,20,--,0,See Instructor
38254,20,9,11,OPEN
31315,40,11,29,OPEN
38670,40,29,11,OPEN
30558,40,--,0,See Instructor
33140,40,16,24,OPEN
30253,40,--,0,See Instructor
32160,40,--,0,See Instructor
32193,40,18,22,OPEN
37709,40,22,18,OPEN
38856,40,2,38,OPEN
38655,40,--,0,CLOSED
35622,40,36,4,OPEN
34375,40,2,38,OPEN
35631,40,8,32,OPEN
34728,40,13,27,OPEN
38858,40,15,25,OPEN
38564,40,13,27,OPEN
38565,40,16,24,OPEN
34724,40,7,33,OPEN
38566,40,7,33,OPEN
35136,40,19,21,OPEN
37718,40,--,0,See Instructor
31562,40,23,17,OPEN
34010,40,--,0,See Instructor
38667,40,--,0,See Instructor
30748,40,--,0,Waitlisted
36138,40,--,0,CLOSED
38713,40,--,0,Waitlisted
30135,40,28,12,OPEN
35770,40,23,17,OPEN
31563,40,--,0,CLOSED
36699,40,--,0,See Instructor
38896,40,24,16,OPEN
30599,40,16,24,OPEN
30644,40,10,30,OPEN
38808,35,6,29,OPEN
38711,40,36,4,OPEN
38712,40,--,0,See Instructor
36140,40,26,14,OPEN
35628,40,7,33,OPEN
38571,40,18,22,OPEN
35686,40,17,23,OPEN
30246,27,--,0,See Instructor
30248,27,--,0,See Instructor
32445,27,25,2,OPEN
32100,27,--,0,See Instructor
30156,27,--,0,See Instructor
30247,27,--,0,See Instructor
31086,27,--,0,See Instructor
31188,27,--,0,See Instructor
33977,27,--,0,See Instructor
36041,27,--,0,See Instructor
30163,27,--,0,See Instructor
30300,27,23,4,OPEN
32446,27,24,3,OPEN
30250,27,--,0,See Instructor
32447,27,--,0,See Instructor
30252,27,--,0,CLOSED
31327,27,--,0,See Instructor
33555,27,--,0,See Instructor
30804,27,--,0,See Instructor
31164,27,--,0,CLOSED
36558,27,--,0,See Instructor
37873,27,--,0,See Instructor
30251,27,--,0,See Instructor
30467,27,--,0,See Instructor
32441,27,--,0,See Instructor
32442,27,--,0,See Instructor
37874,27,--,0,See Instructor
30807,27,25,2,OPEN
30470,27,16,11,OPEN
33377,24,--,0,See Instructor
35353,24,23,1,OPEN
34391,24,18,6,OPEN
33691,24,--,0,See Instructor
38742,5,0,5,Permission of Instructor
30344,27,--,0,See Instructor
32299,27,--,0,See Instructor
37934,27,--,0,See Instructor
38857,27,--,0,See Instructor
30345,27,--,0,See Instructor
30259,27,--,0,See Instructor
31035,27,--,0,See Instructor
31091,27,--,0,See Instructor
31161,27,--,0,See Instructor
31301,27,--,0,See Instructor
32105,27,--,0,See Instructor
30164,27,--,0,See Instructor
32451,27,--,0,CLOSED
30365,30,22,8,OPEN
30828,30,21,9,OPEN
31957,30,--,0,See Instructor
31346,30,21,9,OPEN
31445,30,19,11,OPEN
31374,30,28,2,OPEN
38639,25,20,5,Restricted: Dual Enrollment
36030,25,--,0,See Instructor
33212,25,--,0,Waitlisted
38640,25,14,11,Restricted: Dual Enrollment
33312,25,17,8,OPEN
30514,25,9,16,OPEN
38402,25,--,0,See Instructor
36029,25,11,14,OPEN
31576,25,24,1,OPEN
36657,25,23,2,OPEN
35248,25,--,0,See Instructor
35284,60,53,7,OPEN
38684,48,4,44,OPEN
35285,60,50,10,OPEN
37543,60,31,29,OPEN
35288,60,--,0,See Instructor
35289,90,--,0,CLOSED
37861,60,--,0,See Instructor
35300,60,--,0,See Instructor
35302,60,--,0,See Instructor
35303,60,56,4,OPEN
35305,35,7,28,OPEN
35304,120,--,0,CLOSED
35307,60,--,0,See Instructor
35269,120,--,0,CLOSED
38600,75,64,11,OPEN
35270,24,--,0,See Instructor
35273,24,18,6,OPEN
35272,24,9,15,OPEN
37088,22,16,6,OPEN
38642,22,8,9,OPEN
35277,16,--,0,See Instructor
37142,24,16,8,OPEN
35279,16,4,12,OPEN
38643,22,5,9,OPEN
36315,32,--,0,See Instructor
30502,32,--,0,See Instructor
34490,32,--,0,See Instructor
35102,32,--,0,See Instructor
37978,32,--,0,See Instructor
37979,32,--,0,See Instructor
37980,32,--,0,See Instructor
30289,32,31,1,OPEN
37254,32,17,15,OPEN
30509,100,--,0,See Instructor
38066,30,17,13,OPEN
36484,30,26,4,OPEN
35068,30,9,21,OPEN
36345,30,28,2,OPEN
36381,30,--,0,See Instructor
37007,30,--,0,See Instructor
38067,30,--,0,See Instructor
30294,30,--,0,See Instructor
38318,30,18,12,OPEN
31478,30,--,0,See Instructor
37084,30,--,0,See Instructor
35671,40,--,0,See Instructor
35672,30,28,2,OPEN
38320,20,12,8,OPEN
37251,30,20,10,OPEN
38322,30,24,6,OPEN
37248,20,10,10,OPEN
35675,30,25,5,OPEN
37072,30,7,23,OPEN
37247,30,13,17,OPEN
33066,30,--,0,CLOSED
37928,30,--,0,CLOSED
35563,30,28,2,OPEN
35564,30,--,0,CLOSED
35692,30,29,1,OPEN
38593,30,--,0,CLOSED
38689,30,--,0,CLOSED
33041,30,--,0,CLOSED
33044,30,--,0,CLOSED
33045,30,--,0,CLOSED
33373,30,--,0,CLOSED
37941,30,--,0,CLOSED
38381,60,22,38,OPEN
33138,60,40,20,OPEN
37943,60,--,0,See Instructor
37996,60,--,0,Waitlisted
38043,1,0,1,Permission of Instructor
38044,5,0,5,Permission of Dean
35501,18,--,0,See Instructor
35866,18,0,18,OPEN
35867,18,3,15,OPEN
33996,18,--,0,See Instructor
33997,18,--,0,See Instructor
34003,18,11,7,OPEN
34004,18,11,7,OPEN
37678,35,--,0,See Instructor
37679,35,--,0,See Instructor
37032,35,--,0,Waitlisted
37680,35,--,0,Waitlisted
37681,35,--,0,See Instructor
31077,35,9,26,OPEN
38840,30,0,30,Restricted: Dual Enrollment
38838,18,0,18,Restricted: Dual Enrollment
38839,27,0,27,Restricted: Dual Enrollment
31451,35,19,16,Restricted: Ujima
30869,35,23,12,OPEN
31630,35,10,25,OPEN
31461,35,--,0,See Instructor
37758,35,19,16,OPEN
37759,35,--,0,See Instructor
37760,35,--,0,See Instructor
37864,35,--,0,See Instructor
38835,25,18,7,Restricted: Dual Enrollment
38834,25,10,15,Restricted: Dual Enrollment
38836,25,16,9,Restricted: Dual Enrollment
38837,25,19,6,Restricted: Dual Enrollment
37683,35,--,0,See Instructor
37684,35,--,0,See Instructor
31128,30,29,1,OPEN
34983,30,24,6,OPEN
36336,30,22,8,OPEN
36446,30,--,0,See Instructor
37849,30,--,0,See Instructor
37850,30,--,0,See Instructor
38614,30,--,0,See Instructor
37166,30,--,0,See Instructor
36420,30,--,0,See Instructor
37045,30,--,0,See Instructor
37985,30,--,0,See Instructor
36335,30,--,0,See Instructor
32284,30,--,0,See Instructor
37973,30,--,0,See Instructor
38372,30,28,2,OPEN
37772,30,--,0,See Instructor
38373,30,25,5,OPEN
38342,30,12,18,OPEN
38034,30,--,0,See Instructor
36833,30,26,4,OPEN
32277,30,--,0,See Instructor
38519,30,15,15,OPEN
38363,1,0,1,Permission of Dean
38022,30,--,0,See Instructor
32685,16,9,7,Restricted: Dental Assisting
35413,16,9,7,Restricted: Dental Assisting
32686,24,19,5,Restricted: Dental Assisting
37730,16,15,1,Restricted: Dental Assisting
37673,16,11,5,Restricted: Dental Assisting
38817,6,3,3,Restricted: Dental Assisting
38818,6,--,0,Restricted: Dental Assisting
38819,6,--,0,Restricted: Dental Assisting
38716,16,15,1,Restricted: Dental Assisting
35211,12,11,1,Restricted: Dental Assisting
37671,15,--,0,Restricted: Dental Assisting
32738,18,15,3,Restricted: Dental Assisting
31139,30,--,0,CLOSED
31028,30,--,0,CLOSED
38722,30,15,10,OPEN
38723,30,5,10,OPEN
34412,30,17,13,OPEN
34413,30,0,13,OPEN
30290,30,12,15,OPEN
32822,30,3,15,OPEN
38724,30,16,12,OPEN
37870,30,12,18,OPEN
38725,30,2,12,OPEN
37871,30,0,18,OPEN
38307,30,9,21,OPEN
38308,30,0,21,OPEN
38733,30,19,11,OPEN
38304,30,19,11,OPEN
38306,30,29,1,OPEN
35536,30,--,0,CLOSED
35537,30,--,0,CLOSED
31640,1,0,1,Permission of Instructor
37388,30,11,19,OPEN
38545,30,24,6,OPEN
38299,30,--,0,See Instructor
38081,30,--,0,CLOSED
38300,20,10,7,OPEN
38301,20,3,7,OPEN
35758,20,7,13,OPEN
37565,20,9,11,OPEN
32713,8,7,1,Restricted: Dental Hygiene
38801,8,7,1,Restricted: Dental Hygiene
32714,16,13,3,Restricted: Dental Hygiene
32715,16,15,1,Restricted: Dental Hygiene
34837,16,14,2,Restricted: Dental Hygiene
38351,16,13,3,Restricted: Dental Hygiene
38352,16,13,3,Restricted: Dental Hygiene
32718,16,14,2,Restricted: Dental Hygiene
38822,1,--,0,CLOSED
36356,16,13,3,Restricted: Dental Hygiene
37669,8,--,0,Restricted: Dental Hygiene
37727,8,6,2,Restricted: Dental Hygiene
36575,24,--,0,See Instructor
36576,24,--,0,See Instructor
37659,24,--,0,CLOSED
36538,24,--,0,See Instructor
36572,24,--,0,See Instructor
36546,24,--,0,See Instructor
36548,24,--,0,See Instructor
36550,24,--,0,See Instructor
36605,24,--,0,See Instructor
36543,24,--,0,See Instructor
36544,24,14,10,OPEN
36606,24,11,12,OPEN
36545,24,20,4,OPEN
36690,24,1,12,OPEN
36540,24,--,0,See Instructor
36553,24,20,4,OPEN
36555,24,22,2,OPEN
38786,24,16,8,OPEN
36551,24,--,0,See Instructor
36640,24,--,0,See Instructor
37661,24,--,0,See Instructor
37061,24,--,0,See Instructor
36634,24,--,0,CLOSED
38815,24,--,0,CLOSED
36633,24,--,0,CLOSED
38816,24,--,0,CLOSED
36556,24,19,5,OPEN
38584,20,17,3,OPEN
38585,20,17,3,OPEN
38586,20,14,6,OPEN
38727,20,12,8,OPEN
38246,20,18,2,OPEN
34499,24,18,6,OPEN
33563,24,--,0,See Instructor
37232,24,10,14,OPEN
37233,24,23,1,OPEN
33487,24,10,14,OPEN
33650,24,13,11,OPEN
38489,24,21,3,OPEN
33491,24,--,0,See Instructor
37120,24,13,11,OPEN
31541,40,--,0,See Instructor
30385,40,--,0,CLOSED
32341,40,13,27,OPEN
36151,40,--,0,See Instructor
36153,40,--,0,See Instructor
37138,40,33,7,OPEN
32339,40,31,9,OPEN
30374,40,--,0,See Instructor
31341,40,--,0,CLOSED
32338,40,--,0,CLOSED
36150,40,--,0,See Instructor
38045,40,--,0,See Instructor
38443,40,--,0,See Instructor
38718,40,--,0,See Instructor
37705,40,--,0,See Instructor
30511,40,--,0,See Instructor
36700,40,--,0,See Instructor
31558,40,17,23,OPEN
31713,40,14,26,OPEN
33911,40,--,0,See Instructor
33912,40,13,27,OPEN
34620,40,--,0,See Instructor
37706,40,--,0,See Instructor
37707,40,--,0,See Instructor
38047,40,--,0,See Instructor
36702,35,--,0,See Instructor
38143,25,12,13,OPEN
38142,25,--,0,See Instructor
34520,40,--,0,See Instructor
38145,40,--,0,Waitlisted
33609,20,12,8,OPEN
35471,20,14,6,OPEN
38524,20,15,5,OPEN
38653,20,13,7,OPEN
32801,20,10,10,OPEN
36023,20,--,0,See Instructor
32802,20,--,0,CLOSED
33593,20,5,6,OPEN
33594,20,1,19,OPEN
34506,20,0,20,OPEN
32803,20,--,0,CLOSED
33595,20,9,6,OPEN
33596,20,0,19,OPEN
34508,20,0,20,OPEN
37831,16,--,0,See Instructor
37832,16,2,14,OPEN
30412,40,16,24,OPEN
35206,40,31,9,OPEN
35789,40,10,30,OPEN
31506,40,19,21,OPEN
37778,40,4,36,OPEN
37777,40,7,33,OPEN
37002,40,16,24,OPEN
37003,40,31,9,OPEN
37001,40,10,30,OPEN
37780,40,7,33,OPEN
37006,40,19,21,OPEN
37781,40,4,36,OPEN
38644,40,4,36,OPEN
30226,28,--,0,See Instructor
30419,28,13,15,OPEN
30423,28,--,0,See Instructor
30435,28,27,1,OPEN
30445,28,27,1,OPEN
30459,28,--,0,See Instructor
31212,28,--,0,See Instructor
31328,28,26,2,OPEN
31505,28,--,0,See Instructor
32463,28,27,1,OPEN
32471,28,24,4,OPEN
35412,28,23,5,OPEN
35429,28,27,1,OPEN
35712,28,24,4,OPEN
35717,28,--,0,See Instructor
35959,28,--,0,See Instructor
36505,28,--,0,See Instructor
36529,28,--,0,See Instructor
36642,28,18,10,OPEN
37290,28,12,16,OPEN
38115,28,21,7,OPEN
38118,28,15,13,OPEN
38130,28,12,16,OPEN
38131,28,27,1,OPEN
38137,28,--,0,See Instructor
30245,28,21,7,OPEN
30420,28,23,5,OPEN
30434,28,--,0,See Instructor
30436,28,27,1,OPEN
30443,28,26,2,OPEN
30444,28,26,2,OPEN
30456,28,--,0,See Instructor
30830,28,--,0,See Instructor
32464,28,15,13,OPEN
32473,28,25,3,OPEN
36507,28,27,1,OPEN
36641,28,16,12,OPEN
37292,28,--,0,See Instructor
38121,28,--,0,See Instructor
38127,28,20,8,OPEN
38132,28,--,0,See Instructor
